id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5246,cultural preservation,"In-depth data on heritage sites, traditional arts, language preservation, and community engagement in cultural preservation.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which natural heritage sites are located in Africa and are considered endangered?,"CREATE TABLE HeritageSites (SiteID INT PRIMARY KEY, Name VARCHAR(100), Category VARCHAR(50), Status VARCHAR(20), Region VARCHAR(50)); INSERT INTO HeritageSites (SiteID, Name, Category, Status, Region) VALUES (1, 'Victoria Falls', 'Natural', 'Vulnerable', 'Africa'), (2, 'Grand Canyon', 'Natural', 'Not Endangered', 'North America');",SELECT Name FROM HeritageSites WHERE Category = 'Natural' AND Status = 'Vulnerable' AND Region = 'Africa';,Select the names of natural heritage sites from the HeritageSites table where the status is vulnerable and the region is Africa.
5247,oceans,"Ocean data on marine conservation, ocean acidification, deep-sea exploration, and maritime safety.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average acidity level in the ocean?,"CREATE TABLE ocean_acidification (location TEXT, acidity FLOAT); INSERT INTO ocean_acidification (location, acidity) VALUES ('Caribbean Sea', 8.2), ('Pacific Ocean', 8.1), ('Atlantic Ocean', 8.0);",SELECT AVG(acidity) FROM ocean_acidification;,This query calculates the average acidity level in the ocean.
5248,energy,"Energy market data covering renewable energy sources, energy storage, carbon pricing, and energy efficiency.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of electric vehicles (in thousands) in China as of 2021?,"CREATE TABLE electric_vehicles (id INT, country TEXT, year INT, number_thousands FLOAT); INSERT INTO electric_vehicles (id, country, year, number_thousands) VALUES (1, 'China', 2020, 1500.1), (2, 'China', 2021, 1800.2);",SELECT SUM(number_thousands) FROM electric_vehicles WHERE country = 'China' AND year = 2021;,This query calculates the sum of the number_thousands column for all rows where the country is China and year is 2021.
5249,legal services,"Case outcomes, legal precedents, attorney performance metrics, client demographics, and billing information.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total billing amount by case outcome?,"CREATE TABLE Cases (CaseID int, Outcome varchar(10), BillingID int); INSERT INTO Cases VALUES (1, 'Won', 1), (2, 'Won', 2), (3, 'Lost', 3), (4, 'Lost', 4); CREATE TABLE Billing (BillingID int, Amount decimal(10,2)); INSERT INTO Billing VALUES (1, 500.00), (2, 750.00), (3, 300.00), (4, 600.00);","SELECT C.Outcome, SUM(B.Amount) as TotalBilling FROM Cases C JOIN Billing B ON C.BillingID = B.BillingID GROUP BY C.Outcome;","The SQL query joins the Cases and Billing tables on BillingID, then groups by the Outcome field in the Cases table. It calculates the total billing amount by case outcome by summing the Amount field in the Billing table."
5250,technology,"Extensive data on ethical AI, technology for social good, digital divide, and technology accessibility.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the percentage of technology for social good projects that address education?,"CREATE TABLE social_good_education (id INT, project_education VARCHAR(10)); INSERT INTO social_good_education (id, project_education) VALUES (1, 'yes'), (2, 'no'), (3, 'yes'), (4, 'yes'), (5, 'no'), (6, 'yes');",SELECT COUNT(*) * 100.0 / (SELECT COUNT(*) FROM social_good_education) AS percentage FROM social_good_education WHERE project_education = 'yes';,"This query calculates the percentage of technology for social good projects that address education. It uses a subquery to calculate the total number of projects, and then calculates the percentage of projects that address education. It uses the COUNT and WHERE clauses, as well as the WHERE clause to filter the results to only include projects that address education."
5251,finance,"Financial data on Shariah-compliant finance, socially responsible lending, financial capability, and financial wellbeing.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many financially capable individuals are there in Asia?,"CREATE TABLE financial_capability (id INT, individual_id INT, financially_capable BOOLEAN, country VARCHAR(50));",SELECT COUNT(*) FROM financial_capability WHERE financially_capable = TRUE AND country LIKE 'Asia%';,This query counts the number of financially capable individuals in Asia by selecting the COUNT function on the id column and filtering the data for financially_capable equal to TRUE and country starting with the string 'Asia'.
5252,food services,"Menu engineering, customer preferences, inventory management, and sustainability initiatives.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total sales revenue for each menu category?,"CREATE TABLE menu (category VARCHAR(255), sales FLOAT); INSERT INTO menu (category, sales) VALUES ('Appetizers', 5000.00), ('Entrees', 12000.00), ('Desserts', 6000.00);","SELECT category, SUM(sales) FROM menu GROUP BY category;",The SQL query uses the SUM() function to add up the sales for each menu category and the GROUP BY clause to group the results by category.
5253,public health,"Community health statistics, infectious disease tracking data, healthcare access metrics, and public health policy analysis.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many community health centers are there in each state?,"CREATE TABLE community_health_centers (center_id INT, center_name TEXT, state TEXT); INSERT INTO community_health_centers (center_id, center_name, state) VALUES (1, 'Hawaii Health & Human Services', 'HI'), (2, 'New York City Health & Hospitals', 'NY');","SELECT state, COUNT(*) FROM community_health_centers GROUP BY state;",This SQL query calculates the number of community health centers in each state by grouping the records by the 'state' column and counting the number of rows in each group using the COUNT() function.
5254,biotechnology,"Genetic research data, bioprocess engineering information, biotech startup funding, and biosensor technology development.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What are the top 3 biosensor technology patents by total citations in the UK?,"CREATE SCHEMA if not exists biosensor;CREATE TABLE if not exists biosensor.patents (id INT PRIMARY KEY, name VARCHAR(100), location VARCHAR(50), total_citations INT);INSERT INTO biosensor.patents (id, name, location, total_citations) VALUES (1, 'PatentX', 'UK', 150), (2, 'PatentY', 'USA', 200), (3, 'PatentZ', 'Canada', 120), (4, 'PatentW', 'UK', 170), (5, 'PatentV', 'France', 180), (6, 'PatentU', 'UK', 200);","SELECT name, total_citations FROM biosensor.patents WHERE location = 'UK' GROUP BY name ORDER BY total_citations DESC LIMIT 3;","This SQL query retrieves the top 3 biosensor technology patents by total citations in the UK by using the GROUP BY clause on the name column, and the ORDER BY clause with the total_citations column to sort the results in descending order. The query then limits the results to the top 3 using the LIMIT clause. The query also uses the WHERE clause to filter the rows based on the location column."
5255,public safety,"Crime statistics, emergency response times, community policing metrics, and disaster preparedness data.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights",How many crimes were committed in each type of category?,"CREATE TABLE crimes (category VARCHAR(255), count INT); INSERT INTO crimes (category, count) VALUES ('Theft', 50), ('Assault', 30), ('Vandalism', 20);","SELECT category, SUM(count) OVER (PARTITION BY category) FROM crimes;",Calculate the total number of crimes committed in each category by partitioning the data by category.
5256,food industry,"Food safety records, nutrition data, supply chain transparency, and sustainable food trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many times has 'recalled' appeared in the 'recall_reports' table?,"CREATE TABLE recall_reports (report_id INT, report TEXT); INSERT INTO recall_reports (report_id, report) VALUES (1, 'The product has been recalled due to contamination.'), (2, 'No recalls have been issued for this product.'), (3, 'The company has issued a recall for this product.');",SELECT COUNT(*) as recall_count FROM recall_reports WHERE report LIKE '%recalled%';,The SQL query counts the number of times the word 'recalled' appears in the report column using the LIKE keyword and the COUNT function.
5257,technology,"Extensive data on ethical AI, technology for social good, digital divide, and technology accessibility.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Who are the top 2 contributors to the digital divide in 2020?,"CREATE TABLE Digital_Divide (contributor VARCHAR(50), year INT, impact INT); INSERT INTO Digital_Divide (contributor, year, impact) VALUES ('Income Inequality', 2020, 8), ('Education Disparity', 2020, 7), ('Rural Internet Access', 2020, 6);",SELECT contributor FROM Digital_Divide WHERE year = 2020 ORDER BY impact DESC LIMIT 2;,This query lists the top 2 contributors to the digital divide in 2020 by sorting the data by impact in descending order and limiting the results to the top 2.
5258,defense security,"Detailed records on military technology, intelligence operations, national security, and cybersecurity strategies.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Insert a new record for a military technology developed by Russia.,"CREATE TABLE military_tech (id INT, name VARCHAR(255), country VARCHAR(255), status VARCHAR(255));","INSERT INTO military_tech (id, name, country, status) VALUES (4, 'T-14 Armata', 'Russia', 'active');",This query inserts a new record into the military_tech table for a military technology developed by Russia. The new record includes the name 'T-14 Armata' and the status 'active'.
5259,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the correlation between fish stock and ocean acidification levels in the Atlantic Ocean, considering the fish_stock and acidification_data tables?","CREATE TABLE fish_stock (date DATE, ocean TEXT, fish_population INTEGER); INSERT INTO fish_stock (date, ocean, fish_population) VALUES ('2018-01-01', 'Atlantic', 500000); INSERT INTO fish_stock (date, ocean, fish_population) VALUES ('2018-02-01', 'Atlantic', 495000); CREATE TABLE acidification_data (date DATE, ocean TEXT, acidification_level FLOAT); INSERT INTO acidification_data (date, ocean, acidification_level) VALUES ('2018-01-01', 'Atlantic', 8.2); INSERT INTO acidification_data (date, ocean, acidification_level) VALUES ('2018-02-01', 'Atlantic', 8.15);","SELECT correlation(fish_stock.fish_population, acidification_data.acidification_level) FROM fish_stock INNER JOIN acidification_data ON fish_stock.date = acidification_data.date AND fish_stock.ocean = acidification_data.ocean WHERE fish_stock.ocean = 'Atlantic';","Calculates the correlation between fish stock and ocean acidification levels in the Atlantic Ocean by performing a join on the fish_stock and acidification_data tables using the date and ocean columns. The correlation is calculated using the CORR function, and the WHERE clause filters the results to only include data from the Atlantic Ocean."
5260,aerospace,"Aircraft manufacturing data, satellite deployment projects, flight safety records, and space exploration research.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many aircraft does each manufacturer have in the database?,"CREATE TABLE aircraft_manufacturer (id INTEGER, name TEXT); INSERT INTO aircraft_manufacturer (id, name) VALUES (1, 'Boeing'), (2, 'Airbus'), (3, 'Embraer'); CREATE TABLE aircraft (id INTEGER, manufacturer_id INTEGER, model TEXT); INSERT INTO aircraft (id, manufacturer_id, model) VALUES (1, 1, '747'), (2, 1, '777'), (3, 2, 'A320'), (4, 2, 'A350'), (5, 3, 'ERJ-145');","SELECT manufacturer_id, COUNT(*) FROM aircraft GROUP BY manufacturer_id;","This SQL query groups the aircraft table by the manufacturer_id column and then calculates the count of each group, effectively counting the number of aircraft for each manufacturer."
5261,fashion,"Trend forecasting data, garment manufacturing information, retail sales statistics, and sustainability metrics in the industry.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Find the total revenue from sustainable garments in the last year.,"CREATE TABLE Sales(id INT, garment_id INT, sale_price FLOAT, sale_date DATE, is_sustainable BOOLEAN); INSERT INTO Sales(id, garment_id, sale_price, sale_date, is_sustainable) VALUES (1, 1, 100, '2022-01-01', true); INSERT INTO Sales(id, garment_id, sale_price, sale_date, is_sustainable) VALUES (2, 2, 75, '2022-02-15', false);","SELECT SUM(sale_price) FROM Sales WHERE is_sustainable = true AND sale_date >= DATEADD(year, -1, GETDATE());","This query calculates the total revenue from sustainable garments in the last year by filtering the Sales table where the is_sustainable flag is true and the sale_date is within the last year, and then applying the SUM function to the sale_price column."
5262,charitable organizations,"Financial data, program impact, donor demographics, and volunteer management.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total donation amount for each gender?,"CREATE TABLE Donors (DonorID INT, DonorName VARCHAR(50), Age INT, Gender VARCHAR(10), DonationAmount DECIMAL(10,2)); INSERT INTO Donors (DonorID, DonorName, Age, Gender, DonationAmount) VALUES (5, 'Surae', 45, 'Female', 600.00), (6, 'Jamal', 50, 'Male', 800.00), (7, 'Priya', 32, 'Female', 700.00), (8, 'Thanh', 48, 'Male', 900.00), (9, 'Amira', 38, 'Female', 550.00);","SELECT Gender, SUM(DonationAmount) FROM Donors GROUP BY Gender;",This query groups the donors by their gender and calculates the total donation amount for each gender.
5263,oceanography,"Marine life research data, ocean floor mapping projects, pollution control initiatives, and maritime law compliance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of fishing vessels in the Indian Ocean that are not compliant with maritime law?,"CREATE TABLE indian_ocean_fishingvessels (id INT, is_commercial BOOLEAN, is_compliant BOOLEAN);",SELECT SUM(CASE WHEN is_commercial = TRUE AND is_compliant = FALSE THEN 1 ELSE 0 END) FROM indian_ocean_fishingvessels;,This query calculates the total number of fishing vessels in the Indian Ocean that are not compliant with maritime law by summing the result of a case statement that checks whether the is_commercial column is true and the is_compliant column is false.
5264,chemicals,"Chemical manufacturing data, safety protocols, environmental impact assessments, and product innovation metrics.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Update the safety score for production site A to 95.,"CREATE TABLE production_sites(id INT, site_name TEXT, safety_score INT); INSERT INTO production_sites (id, site_name, safety_score) VALUES (1, 'Site A', 90), (2, 'Site B', 85);",UPDATE production_sites SET safety_score = 95 WHERE site_name = 'Site A';,This query updates the safety score for production site A to 95 by filtering the rows in the production_sites table where the site_name is 'Site A' and then updating the safety_score column for those rows to 95.
5265,archeology,"Detailed records on excavation sites, artifact analysis, historical context, and public outreach in archeology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average artifact age in the 'ArtifactAnalysis' table?,"CREATE TABLE ArtifactAnalysis (ID INT, Archeologist VARCHAR(50), Artifact VARCHAR(50), AnalysisDate DATE, ArtifactAge INT);",SELECT AVG(ArtifactAge) FROM ArtifactAnalysis;,The SQL query calculates the average artifact age by using the AVG function on the 'ArtifactAge' column from the 'ArtifactAnalysis' table.
5266,mental health,"In-depth data on mental health conditions, treatment approaches, patient outcomes, and public awareness campaigns in mental health.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Find the number of unique mental health conditions that have been treated with medication in each region.,"CREATE TABLE treatments (id INT, condition_id INT, medication BOOLEAN, region VARCHAR(50)); INSERT INTO treatments (id, condition_id, medication, region) VALUES (1, 1, TRUE, 'Asia'), (2, 1, FALSE, 'Europe'), (3, 2, TRUE, 'Asia'), (4, 2, TRUE, 'Europe');","SELECT region, COUNT(DISTINCT condition_id) FROM treatments WHERE medication = TRUE GROUP BY region;",The SQL query selects the 'region' column and the number of unique 'condition_id' values from the 'treatments' table where the 'medication' column is TRUE. The COUNT(DISTINCT) function is used to count the number of unique values in a column. The GROUP BY keyword is used to group the results by the 'region' column.
5267,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","List all auto show information for the United States, including the year and the number of attendees.","CREATE TABLE AutoShows (Year INT, Country VARCHAR(255), Attendees INT); INSERT INTO AutoShows (Year, Country, Attendees) VALUES (2018, 'US', 50000), (2019, 'US', 60000), (2020, 'US', 70000);","SELECT Year, Attendees FROM AutoShows WHERE Country = 'US';","This query lists all auto show information for the United States, including the year and the number of attendees. It does so by filtering the data for rows where the Country column is 'US'."
5268,rural development,"Agricultural innovation metrics, rural infrastructure projects, community development initiatives, and economic diversification efforts.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average cost of rural infrastructure projects in the province of Punjab, Pakistan, by project type and year?","CREATE TABLE projects_pakistan (project_id INT, province TEXT, project_type TEXT, year INT, cost FLOAT); INSERT INTO projects_pakistan (project_id, province, project_type, year, cost) VALUES (1, 'Punjab', 'Roads', 2018, 500000), (2, 'Punjab', 'Bridges', 2019, 700000), (3, 'Punjab', 'Irrigation', 2020, 600000);","SELECT project_type, year, AVG(cost) as avg_cost FROM projects_pakistan WHERE province = 'Punjab' GROUP BY project_type, year;","This query calculates the average cost of rural infrastructure projects in the province of Punjab, Pakistan, by project type and year."
5269,arts and culture,"Audience demographics, event attendance, program impact, and funding sources.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many music events were organized in total?,"CREATE TABLE MusicEvents (id INT, year INT, event_type VARCHAR(20)); INSERT INTO MusicEvents (id, year, event_type) VALUES (1, 2017, 'Music'), (2, 2018, 'Music'), (3, 2019, 'Music'), (4, 2020, 'Music');",SELECT COUNT(*) FROM MusicEvents;,This query determines the total number of music events by counting all rows in the 'MusicEvents' table.
5270,philanthropy,"Philanthropy data on effective altruism, impact investing, philanthropic trends, and donor demographics.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",How many donors are there from low-income countries?,"CREATE TABLE Donors (DonorID int, DonorName varchar(50), Country varchar(50)); INSERT INTO Donors (DonorID, DonorName, Country) VALUES (1, 'John Doe', 'United States'); INSERT INTO Donors (DonorID, DonorName, Country) VALUES (2, 'Jane Smith', 'Bangladesh'); INSERT INTO Donors (DonorID, DonorName, Country) VALUES (3, 'Alice Johnson', 'India');CREATE TABLE CountryIncome (Country varchar(50), IncomeLevel varchar(20)); INSERT INTO CountryIncome (Country, IncomeLevel) VALUES ('United States', 'High-income'); INSERT INTO CountryIncome (Country, IncomeLevel) VALUES ('Bangladesh', 'Low-income'); INSERT INTO CountryIncome (Country, IncomeLevel) VALUES ('India', 'Lower-middle-income');",SELECT COUNT(*) FROM Donors INNER JOIN CountryIncome ON Donors.Country = CountryIncome.Country WHERE CountryIncome.IncomeLevel = 'Low-income';,"The SQL query first joins the Donors and CountryIncome tables on the Country. It then filters the results to only include donors from low-income countries using the WHERE clause. Finally, it calculates the number of donors by using the COUNT function."
5271,gaming technology,"Player demographics, game design data, esports event information, and virtual reality technology adoption.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total revenue generated by mobile games in the last year?,"CREATE TABLE GameSales (GameID INT, GameType VARCHAR(10), Revenue INT, SaleDate DATE); INSERT INTO GameSales (GameID, GameType, Revenue, SaleDate) VALUES (1, 'Mobile', 1000, '2022-01-01'), (2, 'PC', 2000, '2022-01-02');","SELECT SUM(Revenue) FROM GameSales WHERE GameType = 'Mobile' AND SaleDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)",This SQL query calculates the total revenue generated by mobile games in the last year. It does so by using the SUM function to add up the revenue generated by mobile games and filtering the data using a WHERE clause to only consider sales that occurred in the last year.
5272,oceans,"Ocean data on marine conservation, ocean acidification, deep-sea exploration, and maritime safety.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","What is the total number of marine conservation initiatives in the Atlantic Ocean, and how many of these initiatives were led by non-governmental organizations?","CREATE TABLE marine_conservation (initiative_name TEXT, ocean TEXT, leader TEXT); INSERT INTO marine_conservation (initiative_name, ocean, leader) VALUES ('Initiative C', 'Atlantic Ocean', 'Greenpeace'); INSERT INTO marine_conservation (initiative_name, ocean, leader) VALUES ('Initiative D', 'Atlantic Ocean', 'World Wildlife Fund');","SELECT COUNT(*) AS total_initiatives, SUM(leader = 'Greenpeace' OR leader = 'World Wildlife Fund') AS ngo_led_initiatives FROM marine_conservation WHERE ocean = 'Atlantic Ocean';",The SQL query calculates the total number of marine conservation initiatives in the Atlantic Ocean and the number of these initiatives that were led by non-governmental organizations. It does this by using aggregate functions to count the total number of initiatives and sum the number of initiatives led by Greenpeace or the World Wildlife Fund in the marine_conservation table. The query filters the data to only include initiatives in the Atlantic Ocean.
5273,venture capital,"Company founding data, investment rounds, exit strategies, and diversity metrics in the startup ecosystem.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total investment amount for each company in 2019?,"CREATE TABLE Company (id INT, name VARCHAR(50), HQ VARCHAR(50), diversity_score FLOAT); CREATE TABLE Investment (id INT, company_id INT, investor VARCHAR(50), investment_amount FLOAT, investment_date DATE); INSERT INTO Company (id, name, HQ, diversity_score) VALUES (4, 'Delta Inc', 'USA', 65.8); INSERT INTO Investment (id, company_id, investor, investment_amount, investment_date) VALUES (4, 4, 'Kleiner Perkins', 10000000, '2019-08-20');","SELECT Company.name, SUM(Investment.investment_amount) as total_investment FROM Company JOIN Investment ON Company.id = Investment.company_id WHERE YEAR(Investment.investment_date) = 2019 GROUP BY Company.name;",This query calculates the total investment amount for each company in the year 2019.
5274,healthcare,"Healthcare data on mental health parity, cultural competency, health equity metrics, and community health workers.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Find the number of unique health equity metrics for each community health worker in TX.,"CREATE TABLE health_equity_metrics (metric_id INT, worker_id INT, name VARCHAR(50)); INSERT INTO health_equity_metrics (metric_id, worker_id, name) VALUES (1, 1, 'Accessibility'), (2, 1, 'Quality of Care'), (3, 2, 'Accessibility'), (4, 2, 'Quality of Care'), (5, 2, 'Language Proficiency');","SELECT worker_id, COUNT(DISTINCT metric_id) FROM health_equity_metrics WHERE state = 'TX' GROUP BY worker_id;",This query selects the 'worker_id' column and the count of distinct 'metric_id' values for each 'worker_id' in the state of 'TX'.
5275,gaming industry,"Player analytics, game performance metrics, eSports data, and virtual reality trends.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average K/D ratio for players from Japan?,"CREATE TABLE players (id INT, name VARCHAR(50), country VARCHAR(50)); CREATE TABLE games (id INT, player_id INT, kills INT, deaths INT); INSERT INTO players VALUES (1, 'Hiroshi Tanaka', 'Japan'); INSERT INTO players VALUES (2, 'Sophia Lee', 'USA'); INSERT INTO games VALUES (1, 1, 12, 6); INSERT INTO games VALUES (2, 1, 18, 4); INSERT INTO games VALUES (3, 2, 7, 3); INSERT INTO games VALUES (4, 2, 10, 5);","SELECT player_id, AVG(kills/deaths) as K_D_ratio FROM players INNER JOIN games ON players.id = games.player_id WHERE country = 'Japan' GROUP BY player_id;","This query first joins the 'players' table with the 'games' table on the 'player_id' column, and then filters the results to only include rows where the player's country is 'Japan'. It then calculates the average K/D ratio for each player by dividing the sum of kills by the sum of deaths."
5276,journalism,"News reporting data, audience demographics, media ethics information, and investigative journalism projects.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average word count of articles related to social justice issues in the United States, published in 2021 and 2022, partitioned by quarter?","CREATE TABLE articles (id INT, title TEXT, category TEXT, publish_date DATE, location TEXT, word_count INT); INSERT INTO articles (id, title, category, publish_date, location, word_count) VALUES (1, 'Social Justice Issue 1', 'social_justice', '2021-01-01', 'USA', 800), (2, 'Social Justice Issue 2', 'social_justice', '2022-06-05', 'USA', 1200);",SELECT AVG(word_count) OVER (PARTITION BY EXTRACT(YEAR_QUARTER FROM publish_date)) AS avg_word_count FROM articles WHERE category = 'social_justice' AND location = 'USA' AND YEAR(publish_date) BETWEEN 2021 AND 2022;,"Calculate the average word count of articles related to social justice issues in the United States, published in 2021 and 2022, partitioned by quarter."
5277,waste management,"Waste generation metrics, recycling rates, landfill capacity data, and circular economy initiatives.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many recycling centers are in the 'Urban' area with a capacity greater than 5000 tons?,"CREATE TABLE RecyclingCenters (id INT, area VARCHAR(20), capacity INT); INSERT INTO RecyclingCenters (id, area, capacity) VALUES (1, 'Urban', 6000);",SELECT COUNT(*) FROM RecyclingCenters WHERE area = 'Urban' AND capacity > 5000;,The SQL query counts the number of recycling centers in the 'Urban' area with a capacity greater than 5000 tons by selecting COUNT(*) from the 'RecyclingCenters' table where the 'area' column equals 'Urban' and the 'capacity' column is greater than 5000.
5278,space,"Space data on space exploration, satellite technology, space debris mitigation, and astrobiology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many asteroids have been discovered in the Main Belt?,"CREATE TABLE asteroids (id INT, name VARCHAR(255), belt VARCHAR(255)); CREATE VIEW main_belt_asteroids AS SELECT * FROM asteroids WHERE belt = 'Main Belt';",SELECT COUNT(*) FROM main_belt_asteroids;,This query counts the number of asteroids in the Main Belt by using the COUNT() function and filtering the 'main_belt_asteroids' view with the 'belt' column.
5279,government services,"Public service delivery, budget allocation, citizen feedback, and policy impact.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",How many public transportation trips were taken in urban areas compared to rural areas in 2020?,"CREATE TABLE Areas (id INT, type VARCHAR(50)); INSERT INTO Areas (id, type) VALUES (1, 'Urban'), (2, 'Rural'); CREATE TABLE Transportation_Trips (area_id INT, year INT, trips INT); INSERT INTO Transportation_Trips (area_id, year, trips) VALUES (1, 2020, 1000000), (2, 2020, 500000), (1, 2021, 1200000), (2, 2021, 600000);","SELECT A.type, SUM(TT.trips) as Total_Trips FROM Transportation_Trips TT JOIN Areas A ON TT.area_id = A.id WHERE TT.year = 2020 GROUP BY A.type;",This SQL query joins the Transportation_Trips table and the Areas table to get the types of areas. It then filters the data for the year 2020 and calculates the total number of public transportation trips taken in urban and rural areas.
5280,ethical fashion,"Extensive data on sustainable materials, fair labor practices, circular economy, and consumer awareness in ethical fashion.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the number of workers involved in sustainable labor practices by supplier?,"CREATE TABLE labor_practices (id INT, supplier VARCHAR(255), practice VARCHAR(255), num_workers INT); INSERT INTO labor_practices (id, supplier, practice, num_workers) VALUES (1, 'Supplier A', 'Fair Trade', 50), (2, 'Supplier B', 'Living Wage', 75), (3, 'Supplier C', 'Fair Trade', 100), (4, 'Supplier D', 'Living Wage', 125), (5, 'Supplier E', 'Fair Trade', 150);","SELECT supplier, SUM(num_workers) FROM labor_practices GROUP BY supplier;",This SQL query calculates the number of workers involved in sustainable labor practices by supplier by selecting the supplier and num_workers columns and then grouping the results by the supplier column and calculating the sum of the num_workers column for each group.
5281,archeology,"Detailed records on excavation sites, artifact analysis, historical context, and public outreach in archeology.",basic SQL,basic SQL with a simple select statement,data definition,"creating, altering, or dropping tables and other database objects","Create a table named 'artifacts' with columns: id, artifact_type, material, analysis_date.","CREATE TABLE excavations (id INT, location VARCHAR(255));","CREATE TABLE artifacts (id INT, artifact_type VARCHAR(255), material VARCHAR(255), analysis_date DATE);","The query creates a new table named 'artifacts' with columns id, artifact_type, material, and analysis_date."
